state,state_abv,year,population,pg_services_spend_per_capita,year_online_legalized,years_since_online_legalization
Alaska,AK,2020,733017,,,
Alaska,AK,2021,734420,,,
Alaska,AK,2022,734442,,,
Alaska,AK,2023,736510,0.0,,
Alaska,AK,2024,740133,0.0,,
Alabama,AL,2020,5033094,,,
Alabama,AL,2021,5049196,,,
Alabama,AL,2022,5076181,,,
Alabama,AL,2023,5117673,0.0,,
Alabama,AL,2024,5157699,0.0,,
Arkansas,AR,2020,3014546,,2022.0,-2.0
Arkansas,AR,2021,3026870,,2022.0,-1.0
Arkansas,AR,2022,3047704,,2022.0,0.0
Arkansas,AR,2023,3069463,0.1,2022.0,1.0
Arkansas,AR,2024,3088354,0.06475941553332293,2022.0,2.0
Arizona,AZ,2020,7187135,,2021.0,-1.0
Arizona,AZ,2021,7274078,,2021.0,0.0
Arizona,AZ,2022,7377566,,2021.0,1.0
Arizona,AZ,2023,7473027,0.4,2021.0,2.0
Arizona,AZ,2024,7582384,0.4352193188844036,2021.0,3.0
California,CA,2020,39521958,,,
California,CA,2021,39142565,,,
California,CA,2022,39142414,,,
California,CA,2023,39198693,0.2,,
California,CA,2024,39431263,0.23838952356154558,,
Colorado,CO,2020,5787129,,2019.0,1.0
Colorado,CO,2021,5814036,,2019.0,2.0
Colorado,CO,2022,5850935,,2019.0,3.0
Colorado,CO,2023,5901339,0.0,2019.0,4.0
Colorado,CO,2024,5957493,,2019.0,5.0
Connecticut,CT,2020,3579918,,2021.0,-1.0
Connecticut,CT,2021,3606607,,2021.0,0.0
Connecticut,CT,2022,3617925,,2021.0,1.0
Connecticut,CT,2023,3643023,1.2,2021.0,2.0
Connecticut,CT,2024,3675069,1.3605186732548422,2021.0,3.0
DC,DC,2020,670917,,2019.0,1.0
DC,DC,2021,669256,,2019.0,2.0
DC,DC,2022,676725,,2019.0,3.0
DC,DC,2023,687324,0.3,2019.0,4.0
DC,DC,2024,702250,,2019.0,5.0
Delaware,DE,2020,991928,,2018.0,2.0
Delaware,DE,2021,1005062,,2018.0,3.0
Delaware,DE,2022,1020625,,2018.0,4.0
Delaware,DE,2023,1036423,1.4,2018.0,5.0
Delaware,DE,2024,1051917,1.521032552948569,2018.0,6.0
Florida,FL,2020,21592035,,2023.0,-3.0
Florida,FL,2021,21831949,,2023.0,-2.0
Florida,FL,2022,22379312,,2023.0,-1.0
Florida,FL,2023,22904868,0.1,2023.0,0.0
Florida,FL,2024,23372215,0.05562160026338967,2023.0,1.0
Georgia,GA,2020,10732888,,,
Georgia,GA,2021,10792060,,,
Georgia,GA,2022,10931805,,,
Georgia,GA,2023,11064432,0.0,,
Georgia,GA,2024,11180878,0.03577536576286764,,
Hawaii,HI,2020,1451252,,,
Hawaii,HI,2021,1447029,,,
Hawaii,HI,2022,1440359,,,
Hawaii,HI,2023,1441387,0.0,,
Hawaii,HI,2024,1446146,0.0,,
Iowa,IA,2020,3191141,,2019.0,1.0
Iowa,IA,2021,3198613,,2019.0,2.0
Iowa,IA,2022,3202820,,2019.0,3.0
Iowa,IA,2023,3218414,0.9,2019.0,4.0
Iowa,IA,2024,3241488,0.9255008810768388,2019.0,5.0
